pity.n.02	an unfortunate development	REGRET_SORRY
plop.n.01	the noise of a rounded object dropping into a liquid without a splash	DROP
poll.n.05	the counting of votes (as in an election)	COUNT
pop.n.03	a sharp explosive sound as from a gunshot or drawing a cork	MAKE-A-SOUND
spill.n.03	the act of allowing a fluid to escape	SPILL_POUR
precipitation.n.05	an unexpected acceleration or hastening	SPEED-UP
precipitation.n.04	the act of casting down or falling headlong from a height	FALL_SLIDE-DOWN
premiere.n.01	the first public performance of a play or movie	PERFORM
pressure.n.01	the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)	PRESS_PUSH_FOLD
processing.n.01	preparing or putting through a prescribed procedure	PREPARE
propagation.n.03	the movement of a wave through a medium	TRANSMIT
protest.n.01	a formal and solemn declaration of objection	OPPOSE_REBEL_DISSENT
quartering.n.03	dividing into four equal parts	DIVIDE
test.n.02	any standardized procedure for measuring sensitivity or memory or intelligence or aptitude or personality etc	ANALYZE
footrace.n.01	a race run on foot	COMPETE
rail_technology.n.01	the activity of designing and constructing and operating railroads	CREATE_MATERIALIZE
systematization.n.01	systematic organization; the act of organizing something according to a system or a rationale	SORT_CLASSIFY_ARRANGE
rattle.n.01	a rapid series of short loud sounds (as might be heard with a stethoscope in some types of respiratory disorders)	MAKE-A-SOUND
resumption.n.01	beginning again	CONTINUE
recapture.n.02	the act of taking something back	CONQUER
reclamation.n.02	rescuing from error and returning to a rightful course	REPAIR_REMEDY
reform.n.03	self-improvement in behavior or morals by abandoning some vice	AMELIORATE
reconsideration.n.02	thinking again about a choice previously made	CONSIDER
restoration.n.02	the act of restoring something or someone to a satisfactory state	RESTORE-TO-PREVIOUS/INITIAL-STATE_UNDO_UNWIND
reflation.n.01	inflation of currency after a period of deflation; restore the system to a previous state	RESTORE-TO-PREVIOUS/INITIAL-STATE_UNDO_UNWIND
refocusing.n.01	focusing again	FOCUS
refrigeration.n.01	the process of cooling or freezing (e.g., food) for preservative purposes	PRESERVE
re-formation.n.01	forming again (especially with improvements or removal of defects); renewing and reconstituting	RENEW
regeneration.n.01	(biology) growth anew of lost tissue or destroyed parts or organs	REPAIR_REMEDY
regression.n.04	returning to a former state	RESTORE-TO-PREVIOUS/INITIAL-STATE_UNDO_UNWIND
rehabilitation.n.01	the restoration of someone to a useful place in society	RESTORE-TO-PREVIOUS/INITIAL-STATE_UNDO_UNWIND
resettlement.n.01	the transportation of people (as a family or colony) to a new settlement (as after an upheaval of some kind)	MOVE-SOMETHING
replay.n.01	something (especially a game) that is played again	REPEAT
retrenchment.n.02	the reduction of expenditures in order to become financially stable	REDUCE_DIMINISH
reunion.n.02	the act of coming together again	MEET
axial_rotation.n.01	rotary motion of an object around its own axis	ROLL
sightseeing.n.01	going about to look at places of interest	VISIT
run.n.07	the act of running; traveling on foot at a fast pace	RUN
sacrifice.n.04	the act of killing (an animal or person) in order to propitiate a deity	KILL
salt.n.04	the taste experience when common salt is taken into the mouth	TASTE
taste.n.01	the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus	TASTE
taste.n.07	a kind of sensing; distinguishing substances by means of the taste buds	TASTE
scan.n.01	the act of scanning; systematic examination of a prescribed region	ANALYZE
waterproofing.n.01	the act of treating something to make it repel water	COVER_SPREAD_SURMOUNT
sense.n.01	a general conscious awareness	PERCEIVE
settling.n.01	a gradual sinking to a lower level	LOWER
sigh.n.02	a sound like a person sighing	MAKE-A-SOUND
singalong.n.01	informal group singing of popular songs	SING
skirl.n.01	the sound of (the chanter of) a bagpipe	MAKE-A-SOUND
smell.n.05	the act of perceiving the odor of something	SMELL
sniff.n.01	sensing an odor by inhaling through the nose	SMELL
surge.n.02	a sudden or abrupt strong increase	INCREASE_ENLARGE_MULTIPLY
softening.n.01	the process of becoming softer	REDUCE_DIMINISH
sojourn.n.01	a temporary stay (e.g., as a guest)	STAY_DWELL
sound.n.02	the subjective sensation of hearing something	HEAR_LISTEN
spatter.n.01	the noise of something spattering or sputtering explosively	MAKE-A-SOUND
spritz.n.01	a quick squirt of some liquid (usually carbonated water)	FLOW
stabilization.n.01	the act of stabilizing something or making it more stable	STABILIZE_SUPPORT-PHYSICALLY
footfall.n.01	the sound of a step of someone walking	MAKE-A-SOUND
storm.n.01	a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning	METEOROLOGICAL
surprise.n.02	a sudden unexpected event	CAUSE-MENTAL-STATE
strain.n.01	(physics) deformation of a physical body under the action of applied forces	CHANGE-APPEARANCE/STATE
slip.n.07	an accidental misstep threatening (or causing) a fall	FALL_SLIDE-DOWN
swing.n.03	a sweeping blow or stroke	HIT
walk.n.01	the act of traveling by foot	TRAVEL
walk.n.04	the act of walking somewhere	GO-FORWARD
lacrimation.n.01	shedding tears	CRY
territorialization.n.01	the act of organizing as a territory	ORGANIZE
testing.n.02	an examination of the characteristics of something	VERIFY
tide.n.01	the periodic rise and fall of the sea level under the gravitational pull of the moon	MOVE-SOMETHING
trample.n.01	the sound of heavy treading or stomping	MAKE-A-SOUND
transformation.n.05	the act of changing in form or shape or appearance	CHANGE-APPEARANCE/STATE
twang.n.01	a sharp vibrating sound (as of a plucked string)	MAKE-A-SOUND
undervaluation.n.01	too low a value or price assigned to something	OFFEND_DISESTEEM
upgrade.n.03	a reservation that is improved	AMELIORATE
vegetation.n.04	inactivity that is passive and monotonous, comparable to the inactivity of plant life	EXIST_LIVE
volley.n.02	a tennis return made by hitting the ball before it bounces	HIT
vulcanization.n.01	process of treating rubber or rubberlike materials with sulphur at great heat to improve elasticity and strength or to harden them	CHANGE-APPEARANCE/STATE

shirking.n.01	the evasion of work or duty	MISS_OMIT_LACK
litigation.n.01	a legal proceeding in a court; a judicial contest to determine and enforce legal rights	FACE_CHALLENGE
blot.n.02	an act that brings discredit to the person who does it	OFFEND_DISESTEEM
standardization.n.02	the imposition of standards or regulations	ADJUST_CORRECT
repercussion.n.01	a remote or indirect consequence of some action	RESULT_CONSEQUENCE
leap.n.02	an abrupt transition	CHANGE-APPEARANCE/STATE
commencement.n.02	an academic exercise in which diplomas are conferred	GIVE_GIFT
updating.n.01	the act of changing something to bring it up to date (usually by adding something)	ADJUST_CORRECT
refreshment.n.02	activity that refreshes and recreates; activity that renews your health and spirits by enjoyment and relaxation	AROUSE_WAKE_ENLIVEN
energy.n.01	(physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs	AROUSE_WAKE_ENLIVEN
tickle.n.01	a cutaneous sensation often resulting from light stroking	TOUCH
tickle.n.02	the act of tickling	TOUCH
accession.n.06	the act of attaining or gaining access to a new office or right or position (especially the throne)	ACHIEVE
commission.n.06	a formal statement of a command or injunction to do something	ASSIGN-smt-to-smn
initiation.n.01	a formal entry into an organization or position or office	AUTHORIZE_ADMIT
ambush.n.01	the act of concealing yourself and lying in wait to attack by surprise	CLOUD_SHADOW_HIDE
brag.n.01	an instance of boastful talk	BEHAVE
reclining.n.01	the act of assuming or maintaining a reclining position	LOWER
juxtaposition.n.01	the act of positioning close together (or side by side)	SORT_CLASSIFY_ARRANGE
union.n.06	healing process involving the growing together of the edges of a wound or the growing together of broken bones	HELP_HEAL_CARE_CURE
atrophy.n.02	any weakening or degeneration (especially through lack of use)	WORSEN
crash.n.03	a sudden large decline of business or the prices of stocks (especially one that causes additional failures)	REDUCE_DIMINISH
snuffle.n.01	the act of breathing heavily through the nose (as when the nose is congested)	BREATH_BLOW
judgment.n.04	the cognitive process of reaching a decision or drawing conclusions	SUBJECTIVE-JUDGING
quantization.n.01	the act of dividing into quanta or expressing in terms of quantum theory	DIVIDE
expulsion.n.03	the act of expelling or projecting or ejecting	EMPTY_UNLOAD
release.n.03	a process that liberates or discharges something	EMIT
puff.n.01	a short light gust of air	AIR
banking.n.02	transacting business with a bank; depositing or withdrawing funds or requesting a loan etc.	CARRY-OUT-ACTION
fielding.n.01	(baseball) handling the ball while playing in the field	PLAY_SPORT/GAME
vesiculation.n.01	the formation of vesicles in or beneath the skin	CHANGE-APPEARANCE/STATE
compression.n.02	the process or result of becoming smaller or pressed together	PRESS_PUSH_FOLD
condensation.n.03	atmospheric moisture that has condensed because of cold	CHANGE-APPEARANCE/STATE
passage.n.01	the act of passing from one state or place to the next	CHANGE-APPEARANCE/STATE
pervaporation.n.01	the concentration of a colloidal solution whose colloid will not pass through a semipermeable membrane; solution is placed in a bag of the membrane and the solvent is evaporated off	CONVERT
aerosol.n.01	a cloud of solid or liquid particles in a gas	CIRCULATE_SPREAD_DISTRIBUTE
whitewash.n.03	a specious or deceptive clearing that attempts to gloss over failings and defects	FAKE
convergence.n.04	the act of converging (coming closer)	COMBINE_MIX_UNITE
homogenization.n.01	the act of making something homogeneous or uniform in composition	COMBINE_MIX_UNITE
communion.n.02	sharing thoughts and feelings	SPEAK
run.n.13	a row of unravelled stitches	BREAK_DETERIORATE
spree.n.01	a brief indulgence of your impulses	ENJOY
activation.n.01	stimulation of activity in an organism or chemical	AROUSE_WAKE_ENLIVEN
concentration.n.03	strengthening the concentration (as of a solute in a mixture) by removing diluting material	STRENGTHEN_MAKE-RESISTANT
relation.n.06	(usually plural) mutual dealings or connections among persons or groups	BEFRIEND
grinding.n.03	the wearing down of rock particles by friction due to water or wind or ice	CORRODE_WEAR-AWAY_SCRATCH
criticism.n.02	a serious examination and judgment of something	CRITICIZE
interjection.n.02	the action of interjecting or interposing an action or remark that interrupts	INSERT
fabrication.n.02	writing in a fictional form	CREATE_MATERIALIZE
label.n.01	a brief description given for purposes of identification	NAME
decay.n.03	the organic phenomenon of rotting	BREAK_DETERIORATE
decomposition.n.04	(biology) the process of decay caused by bacterial or fungal action	DESTROY
shipwreck.n.02	an irretrievable loss	FAIL_LOSE
luff.n.02	the act of sailing close to the wind	DIRECT_AIM_MANEUVER
variation.n.08	(astronomy) any perturbation of the mean motion or orbit of a planet or satellite (especially a perturbation of the earth's moon)	CHANGE_SWITCH
specialization.n.03	(biology) the structural adaptation of some body part for a particular function	ADJUST_CORRECT
ostracism.n.02	the act of excluding someone from society by general consent	DRIVE-BACK
rebuff.n.02	an instance of driving away or warding off	DRIVE-BACK
ejection.n.02	the act of forcing out someone or something	DRIVE-BACK
drama.n.02	an episode that is turbulent or highly emotional	CAUSE-MENTAL-STATE
elaboration.n.05	developing in intricate and painstaking detail	EXPLAIN
idealization.n.01	a portrayal of something as ideal	INTERPRET
smoke.n.01	a cloud of fine particles suspended in a gas	CIRCULATE_SPREAD_DISTRIBUTE
seepage.n.01	the process of seeping	FLOW
externalization.n.02	embodying in an outward form	EXTRACT
fall.n.05	a lapse into sin; a loss of innocence or of chastity	VIOLATE
swindle.n.01	the act of swindling by some fraudulent scheme	STEAL_DEPRIVE
grope.n.01	the act of groping; and instance of groping	SEARCH
closing.n.03	approaching a particular destination; a coming closer; a narrowing of a gap	GO-FORWARD
follow-up.n.02	an activity that continues something that has already begun or that repeats something that has already been done	COME-AFTER_FOLLOW-IN-TIME
fitting.n.04	putting clothes on to see whether they fit	TRY
kowtow.n.01	a former Chinese custom of touching the ground with the forehead as a sign of respect or submission	LOWER
fluctuation.n.01	a wave motion	MOVE-ONESELF
allotment.n.02	the act of distributing by allotting or apportioning; distribution according to a plan	GIVE_GIFT
disclaimer.n.01	(law) a voluntary repudiation of a person's legal claim to something	GIVE-UP_ABOLISH_ABANDON
progress.n.02	the act of moving forward (as toward a goal)	GO-FORWARD
rush.n.02	a sudden forceful flow	GO-FORWARD
cinch.n.01	any undertaking that is easy to do	FACE_CHALLENGE
skid.n.03	an unexpected slide	FALL_SLIDE-DOWN
flotation.n.01	the phenomenon of floating (remaining on the surface of a liquid without sinking)	MOVE-SOMETHING
swimming.n.01	the act of swimming; :	DIP_DIVE
flux.n.02	a flow or discharge	FLOW
pickup.n.08	the act or process of picking up or collecting from various places	TAKE
graft.n.03	the act of grafting something onto something else	JOIN_CONNECT
luck.n.02	an unknown and unpredictable phenomenon that causes an event to result one way rather than another	HAPPEN_OCCUR
coalescence.n.01	the union of diverse things into one body or form or group; the growing together of parts	COMBINE_MIX_UNITE
fertilization.n.01	creation by the physical union of male and female gametes; of sperm and ova in an animal or pollen and ovule in a plant	HAVE-SEX
defloration.n.01	an act that despoils the innocence or beauty of something	DEBASE_ADULTERATE
registration.n.01	the act of enrolling	RECORD
job.n.02	a specific piece of work required to be done as a duty or for a specific fee	WORK
job.n.06	the performance of a piece of work	WORK
grounder.n.01	(baseball) a hit that travels along the ground	HIT
trial.n.06	an annoying or frustrating or catastrophic event	HURT_HARM_ACHE
dislocation.n.01	an event that results in a displacement or discontinuity	REMOVE_TAKE-AWAY_KIDNAP
inducement.n.02	act of bringing about a desired result	INCITE_INDUCE
boost.n.01	the act of giving hope or support to someone	FOLLOW_SUPPORT_SPONSOR_FUND
boost.n.03	the act of giving a push	PRESS_PUSH_FOLD
distention.n.02	the act of expanding by pressure from within	INCREASE_ENLARGE_MULTIPLY
sentimentalization.n.01	the act of indulging in sentiment	INTERPRET
hypostatization.n.01	regarding something abstract as a material thing	REPRESENT
spiritualization.n.01	the act of making something spiritual; infusing it with spiritual content	CHANGE-APPEARANCE/STATE
upset.n.05	the act of upsetting something	INVERT_REVERSE
segregation.n.03	the act of segregating or sequestering	REMOVE_TAKE-AWAY_KIDNAP
patching.n.01	the act of mending a hole in a garment by sewing a patch over it	REPAIR_REMEDY
expiation.n.02	the act of atoning for sin or wrongdoing (especially appeasing a deity)	PUNISH
borrowing.n.01	the appropriation (of ideas or words etc) from another source	TAKE-A-SERVICE_RENT
professionalization.n.01	the social process whereby people come to engage in an activity for pay or as a means of livelihood	WORK
liberalization.n.01	the act of making less strict	LIBERATE_ALLOW_AFFORD
purge.n.01	the act of clearing yourself (or another) from some stigma or charge	LIBERATE_ALLOW_AFFORD
honoring.n.01	conformity with law or custom or practice etc.	HARMONIZE
attraction.n.02	an entertainment that is offered to the public	SHOW
charge.n.04	the quantity of unbalanced electricity in a body (either positive or negative) and construed as an excess or deficiency of electrons	LOAD_PROVIDE_CHARGE_FURNISH
decarboxylation.n.01	the process of removing a carboxyl group from a chemical compound (usually replacing it with hydrogen)	REMOVE_TAKE-AWAY_KIDNAP
stoop.n.01	an inclination of the top half of the body forward and downward	INCLINE
splat.n.01	a single splash	MAKE-A-SOUND
transaction.n.01	the act of transacting within or between groups (as carrying on commercial activities)	MANAGE
manipulation.n.01	exerting shrewd or devious influence especially for one's own advantage	BENEFIT_EXPLOIT
monopoly.n.01	(economics) a market in which there are many buyers but only one seller	MANAGE
equalization.n.01	the act of making equal or uniform	HARMONIZE
scalage.n.02	the act of scaling in weight or quantity or dimension	CHANGE-APPEARANCE/STATE
scaling.n.02	act of measuring or arranging or adjusting according to a scale	MEASURE_EVALUATE
scramble.n.01	an unceremonious and disorganized struggle	FIGHT
overproduction.n.01	too much production or more than expected	MOUNT_ASSEMBLE_PRODUCE
receding.n.02	the act of becoming more distant	MOVE-BACK
disengagement.n.02	to break off a military action with an enemy	MOVE-BACK
lurch.n.01	an unsteady uneven gait	TRAVEL
bustle.n.01	a rapid active commotion	MOVE-ONESELF
twist.n.09	a jerky pulling movement	PULL
feather.n.02	turning an oar parallel to the water between pulls	TURN_CHANGE-DIRECTION
polarization.n.01	the phenomenon in which waves of light or other radiation are restricted in direction of vibration	TURN_CHANGE-DIRECTION
repatriation.n.01	the act of returning to the country of origin	MOVE-SOMETHING
mesh.n.05	the act of interlocking or meshing	JOIN_CONNECT
subversion.n.02	the act of subverting; as overthrowing or destroying a legally constituted government	OPPOSE_REBEL_DISSENT
organization.n.06	the activity or result of distributing or disposing persons or things properly or methodically	ORGANIZE
procedure.n.01	a particular course of action intended to achieve a result	PLAN_SCHEDULE
circumscription.n.01	the act of circumscribing	RESTRAIN
portraiture.n.02	the activity of making portraits	PAINT
schematization.n.01	providing a chart or outline of a system	SORT_CLASSIFY_ARRANGE
assumption.n.03	the act of taking possession of or power over something	OBTAIN
finance.n.01	the commercial activity of providing funds and capital	PAY
finance.n.03	the management of money and credit and banking and investments	MANAGE
play.n.14	gay or light-hearted recreational activity for diversion or amusement	PLAY_SPORT/GAME
prowl.n.01	the act of prowling (walking about in a stealthy manner)	TRAVEL
obviation.n.01	the act of preventing something by anticipating and disposing of it effectively	PRECLUDE_FORBID_EXPEL
draw.n.09	the act of drawing or hauling something	PULL
billow.n.01	a large sea wave	RAISE
putout.n.01	an out resulting from a fielding play (not a strikeout)	DEFEAT
case.n.01	an occurrence of something	HAPPEN_OCCUR
rule.n.11	(mathematics) a standard procedure for solving a class of mathematical problems	REPRESENT
appeal.n.03	(law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial	FACE_CHALLENGE
mortification.n.04	(Christianity) the act of mortifying the lusts of the flesh by self-denial and privation (especially by bodily pain or discomfort inflicted on yourself)	HURT_HARM_ACHE
redeposition.n.01	deposition from one deposit to another	FALL_SLIDE-DOWN
speed.n.03	changing location rapidly	RUN
base_on_balls.n.01	(baseball) an advance to first base by a batter who receives four balls	SCORE
reference.n.07	the act of referring or consulting	DISCUSS
detachment.n.02	the act of releasing from an attachment or connection	SEPARATE_FILTER_DETACH
filtration.n.02	the act of changing a fluid by passing it through a filter	SEPARATE_FILTER_DETACH
proration.n.01	the proportional limitation of production or distribution of something (e.g. crude oil or natural gas) to some fractional part of the total capacity of each producer	RESTRAIN
depiction.n.04	representation by drawing or painting etc	REPRESENT
depicting.n.01	a representation by picture or portraiture	REPRESENT
auspice.n.01	a favorable omen	SIGNAL_INDICATE
prefiguration.n.02	the act of providing vague advance indications; representing beforehand	SIGNAL_INDICATE
redeployment.n.01	the withdrawal and redistribution of forces in an attempt to use them more effectively	SORT_CLASSIFY_ARRANGE
proclamation.n.02	the formal act of proclaiming; giving public notice	SPEAK
sermon.n.01	an address of a religious nature (usually delivered during a church service)	SPEAK
sass.n.01	an impudent or insolent rejoinder	ANSWER
leach.n.01	the process of leaching	SPILL_POUR
miscarriage.n.01	failure of a plan	FAIL_LOSE
withdrawal.n.03	the act of withdrawing	LEAVE_DEPART_RUN-AWAY
dislocation.n.02	the act of disrupting an established order so it fails to continue	MESS
hitch.n.07	the uneven manner of walking that results from an injured leg	MOVE-ONESELF
lock.n.06	any wrestling hold in which some part of the opponent's body is twisted or pressured	RESTRAIN
comb-out.n.01	the act of removing tangles from you hair with a comb	STRAIGHTEN
unsnarling.n.01	the act of releasing from a snarled or tangled condition	STRAIGHTEN
rally.n.02	the feat of mustering strength for a renewed effort	AROUSE_WAKE_ENLIVEN
evangelism.n.01	zealous preaching and advocacy of the gospel	TEACH
exercise.n.01	the activity of exerting your muscles in various ways to keep fit	PREPARE
revolution.n.01	a drastic and far-reaching change in ways of thinking and behaving	CHANGE_SWITCH
abstraction.n.03	the process of formulating general concepts by abstracting common properties of instances	THINK
itch.n.03	an irritating cutaneous sensation that produces a desire to scratch	HURT_HARM_ACHE
broadcast.n.02	a radio or television show	SHOW
rerun.n.01	a program that is broadcast again	TRANSMIT
lap.n.05	movement once around a course	TRAVEL
tour.n.01	a journey or route all the way around a particular place or area	TRAVEL
flit.n.01	a sudden quick movement	RUN
pace.n.04	a step in walking or running	TRAVEL
favor.n.01	an act of gracious kindness	TREAT
strain.n.10	an intense or violent exertion	TRY
scrutiny.n.02	a prolonged intense look	ANALYZE
misuse.n.01	improper or excessive use	VIOLATE
desensitization.n.01	the process of reducing sensitivity	WEAKEN
conventionalization.n.01	the act of conventionalizing; conforming to a conventional style	HARMONIZE
campaign.n.02	a series of actions advancing a principle or tending toward a particular end	WORK
function.n.03	the actions and activities assigned to or required or expected of a person or group	WORK
office.n.06	a religious rite or service prescribed by ecclesiastical authorities	EMCEE
brutalization.n.03	an act that makes people cruel or lacking normal human qualities	WORSEN
backsliding.n.01	a failure to maintain a higher state	WORSEN
