wn:00902108n	a-scan_ultrasonography%1:04:00::
wn:00729825n	hebrew_lesson%1:04:00::
wn:00227848n	hecatomb%1:04:00::
wn:01068633n	heckling%1:04:00::
wn:00833119n	heimlich_maneuver%1:04:00::
wn:00783063n	heist%1:04:00::
wn:11528636n	heliocentric_parallax%1:19:00::
wn:01046348n	heliolatry%1:04:00::
wn:00662972n	heliotherapy%1:04:00::
wn:00862079n	heliotropism%1:04:00::
wn:07305907n	hell%1:11:00::
wn:00736786n	hell%1:04:00::
wn:01256615n	helm%1:04:00::
wn:01210547n	help_desk%1:04:00::
wn:13492136n	hemagglutination%1:22:00::
wn:00119210n	hematemesis%1:04:00::
wn:13492287n	hematochezia%1:22:00::
wn:13492453n	hematopoiesis%1:22:00::
wn:13492789n	hemimetamorphosis%1:22:00::
wn:00650543n	hemodialysis%1:04:00::
wn:13493213n	hemolysis%1:22:00::
wn:14288561n	hemorrhagic_stroke%1:26:00::
wn:00676693n	hemorrhoidectomy%1:04:00::
wn:00676834n	hemostasis%1:04:00::
wn:05801594n	heraldry%1:09:00::
wn:00613685n	herbal_medicine%1:04:00::
wn:13493399n	heredity%1:22:00::
wn:05929670n	hero%1:09:00::
wn:00551714n	heroics%1:04:00::
wn:10173305n	heroine%1:18:01::
wn:11451310n	hertzian_wave%1:19:00::
wn:01063350n	hesitation%1:04:00::
wn:13493003n	heterometabolism%1:22:00::
wn:05739965n	heterophil_test%1:09:00::
wn:01154772n	heterosexism%1:04:00::
wn:00857664n	heterosexuality%1:04:00::
wn:13493566n	heterospory%1:22:00::
wn:05847956n	heuristic%1:09:00::
wn:00212377n	hibernation%1:04:00::
wn:14359459n	hiccup%1:26:00::
wn:00484910n	hide-and-seek%1:04:00::
wn:00994745n	high-angle_fire%1:04:00::
wn:00497713n	high-low%1:04:00::
wn:14520670n	high%1:26:00::
wn:11472699n	high_beam%1:19:00::
wn:00253773n	high_colonic%1:04:00::
wn:01020488n	high_fidelity%1:04:00::
wn:01099231n	high_finance%1:04:00::
wn:07469476n	high_jump%1:11:00::
wn:00440509n	high_jump%1:04:00::
wn:01042465n	high_mass%1:04:00::
wn:00950858n	high_technology%1:04:00::
wn:07401960n	high_tide%1:11:00::
wn:11443057n	high_wind%1:19:00::
wn:05770664n	higher_cognitive_process%1:09:00::
wn:00886699n	higher_education%1:04:00::
wn:00783199n	highjacking%1:04:00::
wn:00538791n	highland_fling%1:04:00::
wn:00783419n	highway_robbery%1:04:00::
wn:00414599n	hijab%1:04:00::
wn:00769944n	hijack%1:04:00::
wn:00288970n	hike%1:04:00::
wn:01073995n	hindrance%1:04:00::
wn:05807147n	hindsight%1:09:00::
wn:00809074n	hire%1:04:00::
wn:00809201n	hiring_freeze%1:04:00::
wn:07384898n	hiss%1:11:00::
wn:11466458n	histocompatibility%1:19:00::
wn:00931217n	historiography%1:04:00::
wn:00890227n	history_lesson%1:04:00::
wn:07213889n	histrionics%1:10:01::
wn:00043902n	hit%1:04:03::
wn:00125629n	hit%1:04:00::
wn:00064504n	hit%1:04:02::
wn:01250335n	hit%1:04:04::
wn:00145779n	hit%1:04:05::
wn:00286756n	hitch%1:04:00::
wn:01206910n	hobbyism%1:04:00::
wn:05792575n	hobson's_choice%1:09:00::
wn:00808614n	hold-down%1:04:00::
wn:00780466n	holdout%1:04:00::
wn:06102865n	holism%1:09:00::
wn:00697024n	holistic_medicine%1:04:00::
wn:01245318n	holocaust%1:04:00::
wn:13493692n	holometabolism%1:22:00::
wn:01035853n	holy_eucharist%1:04:00::
wn:01039822n	holy_order%1:04:00::
wn:01100491n	home_banking%1:04:00::
wn:00456804n	home_game%1:04:00::
wn:00785482n	home_invasion%1:04:00::
wn:06615458n	home_movie%1:10:00::
wn:07465657n	home_stand%1:11:00::
wn:00891224n	home_study%1:04:00::
wn:00383281n	homecoming%1:04:02::
wn:01134244n	homemaking%1:04:00::
wn:00710889n	homeopathy%1:04:00::
wn:00132355n	homer%1:04:00::
wn:07292418n	homestretch%1:11:00::
wn:00729108n	homework%1:04:00::
wn:00220023n	homicide%1:04:00::
wn:07244949n	homily%1:10:00::
wn:00380994n	homogenization%1:04:00::
wn:00856847n	homosexuality%1:04:00::
wn:13493874n	homospory%1:22:00::
wn:07385249n	honk%1:11:00::
wn:00220219n	honor_killing%1:04:00::
wn:00233980n	honorable_discharge%1:04:00::
wn:01204419n	honoring%1:04:00::
wn:00572285n	hook%1:04:02::
wn:00135799n	hook%1:04:00::
wn:00111358n	hook_shot%1:04:00::
wn:00120010n	hop%1:04:00::
wn:07449548n	hop%1:11:00::
wn:00485081n	hopscotch%1:04:00::
wn:01238847n	horizontal_integration%1:04:00::
wn:11529158n	horizontal_parallax%1:19:00::
wn:00663094n	hormone_replacement_therapy%1:04:00::
wn:06808121n	horn_of_plenty%1:10:00::
wn:00538876n	hornpipe%1:04:00::
wn:00915646n	horse_breeding%1:04:00::
wn:07461411n	horse_race%1:11:00::
wn:00450070n	horse_racing%1:04:00::
wn:01109934n	horse_trade%1:04:00::
wn:00513761n	horseplay%1:04:00::
wn:00519579n	horseshow%1:04:00::
wn:01163429n	horsewhipping%1:04:00::
wn:00697249n	hospice%1:04:00::
wn:00658627n	hospitalization%1:04:00::
wn:00991070n	hostile_fire%1:04:00::
wn:00790817n	hostile_takeover%1:04:00::
wn:00964781n	hostilities%1:04:01::
wn:00593389n	hot_seat%1:04:00::
wn:13981885n	hot_war%1:26:00::
wn:11466701n	hot_weather%1:19:00::
wn:00514471n	hotfoot%1:04:00::
wn:00911905n	house-raising%1:04:00::
wn:00432164n	house%1:04:00::
wn:01147135n	house_arrest%1:04:00::
wn:07450229n	house_party%1:11:00::
wn:00785263n	housebreaking%1:04:00::
wn:00580565n	housecleaning%1:04:01::
wn:00580370n	housecleaning%1:04:00::
wn:00580880n	housewifery%1:04:00::
wn:00580961n	housework%1:04:00::
wn:00239666n	housing_start%1:04:00::
wn:07385548n	howl%1:11:02::
wn:07385367n	howl%1:11:00::
wn:00076323n	howler%1:04:00::
wn:07385660n	hubbub%1:11:00::
wn:04888703n	hubris%1:07:00::
wn:00417859n	hug%1:04:00::
wn:00542458n	hula%1:04:00::
wn:07385803n	hum%1:11:00::
wn:13493998n	human_process%1:22:00::
wn:00638602n	human_reproductive_cloning%1:04:00::
wn:00264775n	humanization%1:04:00::
wn:13494192n	humification%1:22:00::
wn:07309223n	humiliation%1:11:00::
wn:00273449n	humiliation%1:04:00::
wn:01253944n	humming%1:04:00::
wn:00861046n	humoral_immune_response%1:04:00::
wn:00406114n	hunch%1:04:00::
wn:08428252n	hunger_march%1:14:00::
wn:01242962n	hunger_strike%1:04:00::
wn:05770257n	hunt%1:09:00::
wn:00622584n	hunt%1:04:00::
wn:00452293n	hunt%1:04:01::
wn:07469162n	hurdles%1:11:00::
wn:00105479n	hurl%1:04:00::
wn:00470830n	hurling%1:04:00::
wn:11467018n	hurricane%1:19:00::
wn:00800121n	hustings%1:04:00::
wn:00850425n	hybridization%1:04:00::
wn:13494325n	hydration%1:22:00::
wn:13494472n	hydrocracking%1:22:00::
wn:11467202n	hydroelectricity%1:19:00::
wn:11437111n	hydrogen_bond%1:19:00::
wn:13494707n	hydrogenation%1:22:00::
wn:13494919n	hydrolysis%1:22:00::
wn:05777149n	hydromancy%1:09:00::
wn:01002413n	hydrometry%1:04:00::
wn:00711127n	hydropathy%1:04:00::
wn:00449796n	hydroplane_racing%1:04:00::
wn:00918976n	hydroponics%1:04:00::
wn:11496296n	hydrostatic_head%1:19:00::
wn:00119297n	hyperemesis%1:04:00::
wn:00119402n	hyperemesis_gravidarum%1:04:00::
wn:00369694n	hyperextension%1:04:00::
wn:13495209n	hyperhidrosis%1:22:00::
wn:06261922n	hypermedia%1:10:00::
wn:00833578n	hyperpnea%1:04:00::
wn:13495333n	hypersecretion%1:22:00::
wn:14576690n	hypertonicity%1:26:01::
wn:00833870n	hyperventilation%1:04:00::
wn:00390445n	hyphenation%1:04:00::
wn:00705319n	hypnoanalysis%1:04:00::
wn:00238778n	hypnogenesis%1:04:00::
wn:00704064n	hypnotherapy%1:04:00::
wn:00158996n	hypnotism%1:04:00::
wn:00677038n	hypophysectomy%1:04:00::
wn:00833772n	hypopnea%1:04:00::
wn:13495507n	hypostasis%1:22:01::
wn:13495413n	hypostasis%1:22:00::
wn:00932804n	hypostatization%1:04:00::
wn:14576860n	hypotonicity%1:26:01::
wn:01002554n	hypsometry%1:04:00::
wn:00677174n	hysterectomy%1:04:00::
wn:11467318n	hysteresis%1:19:00::
wn:14082984n	hysterics%1:26:00::
wn:00642910n	hysteroscopy%1:04:00::
wn:00677299n	hysterotomy%1:04:00::
wn:11467543n	ice_fog%1:19:00::
wn:00463543n	ice_hockey%1:04:00::
wn:00520783n	ice_show%1:04:00::
wn:00448640n	ice_skating%1:04:00::
wn:11467650n	ice_storm%1:19:00::
wn:00239766n	icebreaker%1:04:00::
wn:01046571n	ichthyolatry%1:04:00::
wn:00558181n	icing%1:04:00::
wn:01044363n	iconolatry%1:04:00::
wn:06887278n	id%1:10:00::
wn:01219075n	idealization%1:04:00::
wn:13495636n	idealization%1:22:00::
wn:05784699n	ideation%1:09:00::
wn:05763412n	identity%1:09:00::
wn:00777069n	identity_theft%1:04:00::
wn:05779568n	ideology%1:09:03::
wn:01044761n	idiolatry%1:04:00::
wn:07460904n	iditarod%1:11:00::
wn:01065441n	idleness%1:04:00::
wn:01044448n	idolatry%1:04:01::
wn:01044084n	idolatry%1:04:00::
wn:01043820n	idolization%1:04:00::
wn:07307297n	idyll%1:11:00::
wn:13495873n	ignition%1:22:00::
wn:00378479n	ignition%1:04:00::
wn:00681071n	ileostomy%1:04:00::
wn:00810498n	illegal_possession%1:04:00::
wn:00616279n	image_compression%1:04:00::
wn:05767733n	imagination%1:09:02::
wn:00901083n	imaging%1:04:00::
wn:13496017n	imbibition%1:22:00::
wn:01020936n	imitation%1:04:00::
wn:01251923n	imitative_electronic_deception%1:04:00::
wn:05708322n	immediacy%1:09:00::
wn:01038485n	immersion%1:04:00::
wn:00056311n	immigration%1:04:00::
wn:00230824n	imminent_abortion%1:04:00::
wn:01260309n	immobilization%1:04:01::
wn:01146288n	immobilization%1:04:00::
wn:00227969n	immolation%1:04:00::
wn:00860434n	immune_response%1:04:00::
wn:00828990n	immunization%1:04:00::
wn:05740560n	immunoassay%1:09:00::
wn:13496167n	immunoelectrophoresis%1:22:00::
wn:00792142n	immunohistochemistry%1:04:00::
wn:00663333n	immunotherapy%1:04:00::
wn:07338552n	impact%1:11:00::
wn:11414411n	impact%1:19:00::
wn:00403334n	impairment%1:04:00::
wn:00420877n	impalement%1:04:00::
wn:00937250n	impasto%1:04:00::
wn:01131330n	imperative%1:04:00::
wn:06661396n	imperialism%1:10:00::
wn:00804909n	imperialism%1:04:00::
wn:04888788n	imperiousness%1:07:00::
wn:00549284n	impersonation%1:04:00::
wn:00157957n	impingement%1:04:00::
wn:00126447n	impingement%1:04:01::
wn:13496286n	implantation%1:22:00::
wn:01052618n	implantation%1:04:00::
wn:00677808n	implantation%1:04:01::
wn:00044150n	implementation%1:04:00::
wn:07365524n	implosion%1:11:00::
wn:07116304n	implosion%1:10:00::
wn:00702418n	implosion_therapy%1:04:00::
wn:01111750n	importing%1:04:00::
wn:07188385n	importunity%1:10:00::
wn:01127623n	imposition%1:04:02::
wn:05792312n	impossibility%1:09:00::
wn:05792446n	impossible%1:09:00::
wn:00756331n	imposture%1:04:00::
wn:00086297n	impoundment%1:04:00::
wn:07233996n	imprecation%1:10:00::
wn:13496517n	impregnation%1:22:00::
wn:00086654n	impress%1:04:00::
wn:00549106n	impression%1:04:00::
wn:00113532n	impression%1:04:01::
wn:05754730n	imprinting%1:09:00::
wn:01162376n	imprisonment%1:04:01::
wn:01146768n	imprisonment%1:04:00::
wn:07239788n	impromptu%1:10:00::
wn:07357388n	improvement%1:11:00::
wn:00248977n	improvement%1:04:00::
wn:00178832n	improvisation%1:04:00::
wn:00104249n	impulse%1:04:01::
wn:05735478n	imputation%1:09:00::
wn:01172031n	in-fighting%1:04:01::
wn:00446411n	in-fighting%1:04:00::
wn:13496771n	inactivation%1:22:00::
wn:01062583n	inactivity%1:04:00::
wn:05706228n	inattention%1:09:00::
wn:05706375n	inattentiveness%1:09:00::
wn:07240077n	inaugural_address%1:10:00::
wn:00239910n	inauguration%1:04:01::
wn:00243373n	inauguration%1:04:00::
wn:00851587n	inbreeding%1:04:00::
wn:11467786n	incandescence%1:19:00::
wn:05714745n	incense%1:09:00::
wn:00848891n	incest%1:04:00::
wn:11467996n	incidence%1:19:00::
wn:07307477n	incident%1:11:00::
wn:00378706n	incineration%1:04:00::
wn:00678010n	incision%1:04:00::
wn:01261490n	incitation%1:04:00::
wn:00335384n	inclination%1:04:00::
wn:00626728n	incline_bench_press%1:04:00::
wn:00373130n	inclusion%1:04:00::
wn:05676476n	incognizance%1:09:00::
wn:00230997n	incomplete_abortion%1:04:00::
wn:13496972n	incontinence%1:22:00::
wn:01238267n	incorporation%1:04:01::
wn:00373278n	incorporation%1:04:00::
wn:07356676n	increase%1:11:00::
wn:13497135n	increase%1:22:00::
wn:00363260n	increase%1:04:00::
wn:13497650n	incrustation%1:22:00::
wn:00658796n	incubation%1:04:00::
wn:00889082n	inculcation%1:04:00::
wn:01131425n	incumbency%1:04:01::
wn:00593512n	incumbency%1:04:00::
wn:01240064n	incurrence%1:04:00::
wn:00078217n	incurring%1:04:00::
wn:00049344n	incursion%1:04:01::
wn:00072691n	incursion%1:04:02::
wn:00406234n	incurvation%1:04:00::
wn:00737536n	indecency%1:04:01::
wn:00772253n	indecent_exposure%1:04:00::
wn:06015700n	indefinite_integral%1:09:00::
wn:01224828n	indelicacy%1:04:00::
wn:00259894n	indemnification%1:04:00::
wn:00406939n	indentation%1:04:00::
wn:07474006n	independence%1:11:00::
wn:00805868n	indexation%1:04:00::
wn:01013156n	indexing%1:04:00::
wn:07231048n	indication%1:10:01::
wn:01225299n	indignity%1:04:00::
wn:07138504n	indirect_discourse%1:10:00::
wn:00991496n	indirect_fire%1:04:00::
wn:00646024n	indirect_immunofluorescence%1:04:00::
wn:01026191n	indirection%1:04:00::
wn:00752798n	indirection%1:04:01::
wn:00738785n	indiscretion%1:04:00::
wn:05749402n	individualization%1:09:00::
wn:00888796n	indoctrination%1:04:00::
wn:00231161n	induced_abortion%1:04:00::
wn:00159177n	inducement%1:04:00::
wn:11468172n	induction%1:19:00::
wn:00238527n	induction%1:04:00::
wn:13497784n	induction_heating%1:22:00::
wn:00238326n	induction_of_labor%1:04:00::
wn:01073241n	indulgence%1:04:00::
wn:00094500n	indulgence%1:04:02::
wn:00891345n	industrial_arts%1:04:00::
wn:13497928n	industrial_process%1:22:00::
wn:00923802n	industrialization%1:04:00::
wn:00923444n	industry%1:04:00::
wn:13498213n	indweller%1:22:00::
wn:11468763n	inertia%1:19:00::
wn:00816841n	inertial_guidance%1:04:00::
wn:07330250n	inevitable%1:11:00::
wn:01058049n	infant_feeding%1:04:00::
wn:01250492n	infanticide%1:04:00::
wn:00738872n	infantilism%1:04:00::
wn:13498666n	infection%1:22:01::
wn:13498404n	infection%1:22:00::
wn:07360647n	infection%1:11:00::
wn:05774614n	inference%1:09:00::
wn:07415396n	inferior_conjunction%1:11:00::
wn:00976698n	infiltration%1:04:00::
wn:01261712n	inflammation%1:04:00::
wn:13498828n	inflation%1:22:00::
wn:07409255n	inflation%1:11:00::
wn:00367280n	inflation%1:04:00::
wn:00663714n	inflation_therapy%1:04:00::
wn:13499393n	inflationary_spiral%1:22:00::
wn:07366971n	inflection%1:11:00::
wn:00744758n	infliction%1:04:01::
wn:13499782n	inflow%1:22:00::
wn:00157081n	influence%1:04:00::
wn:11414608n	influence%1:19:00::
wn:00981711n	information_gathering%1:04:00::
wn:06108643n	information_theory%1:09:00::
wn:00996180n	information_warfare%1:04:00::
wn:07214994n	informing%1:10:01::
wn:07212190n	informing%1:10:00::
wn:11469481n	infrared%1:19:00::
wn:11472820n	infrared_ray%1:19:00::
wn:00663488n	infrared_therapy%1:04:00::
wn:13499923n	infructescence%1:22:00::
wn:13500023n	infusion%1:22:00::
wn:00323532n	infusion%1:04:00::
wn:00248748n	infusion%1:04:01::
wn:05929780n	ingenue%1:09:00::
wn:00160073n	ingratiation%1:04:00::
wn:07322341n	ingress%1:11:00::
wn:01054545n	inhabitancy%1:04:00::
wn:00836788n	inhalation%1:04:00::
wn:00083585n	inheritance%1:04:00::
wn:01070892n	inhibition%1:04:00::
wn:13500214n	inhibition%1:22:00::
wn:01094575n	initial_public_offering%1:04:00::
wn:07453195n	initiation%1:11:00::
wn:00240184n	initiation%1:04:01::
wn:00322634n	injection%1:04:00::
wn:00697365n	injection%1:04:01::
wn:07170467n	injunction%1:10:00::
wn:07313636n	injury%1:11:00::
wn:00744443n	injury%1:04:02::
wn:00744305n	injury%1:04:01::
wn:00744616n	injustice%1:04:00::
wn:00457228n	innings%1:04:00::
wn:00824054n	inoculating%1:04:00::
wn:00823884n	inoculation%1:04:00::
wn:13500437n	inpouring%1:22:00::
wn:00637810n	inquest%1:04:00::
wn:05797597n	inquiry%1:09:01::
wn:00636728n	inquiry%1:04:00::
wn:07194676n	inquisition%1:10:00::
wn:00733753n	inroad%1:04:01::
wn:00977132n	inroad%1:04:00::
wn:00615011n	inscription%1:04:00::
wn:00919692n	insemination%1:04:01::
wn:00845178n	insemination%1:04:00::
wn:00320852n	insertion%1:04:00::
wn:07426241n	insertional_mutagenesis%1:11:00::
wn:00767633n	inside_job%1:04:00::
wn:00170005n	inside_loop%1:04:00::
wn:00080242n	insider_trading%1:04:00::
wn:05807306n	insight%1:09:01::
wn:05708207n	insight%1:09:00::
wn:06883073n	insignia%1:10:00::
wn:06884670n	insignia_of_rank%1:10:00::
wn:01214557n	insistence%1:04:00::
wn:11509968n	insolation%1:19:00::
wn:01224914n	insolence%1:04:00::
wn:00879271n	inspection%1:04:00::
wn:00593613n	inspectorship%1:04:00::
wn:05797473n	inspiration%1:09:01::
wn:01261845n	inspiration%1:04:01::
wn:13500557n	inspissation%1:22:00::
wn:00240938n	installation%1:04:00::
wn:00321731n	instillation%1:04:00::
wn:07351380n	instroke%1:11:00::
wn:00593732n	instructorship%1:04:00::
wn:00173761n	instrument%1:04:00::
wn:00816419n	instrument_flying%1:04:00::
wn:00305858n	instrument_landing%1:04:00::
wn:05759487n	instrumental_conditioning%1:09:00::
wn:00544731n	instrumental_music%1:04:00::
wn:00097348n	instrumentation%1:04:00::
wn:01179393n	insubordination%1:04:00::
wn:13500674n	insufflation%1:22:00::
wn:00835830n	insufflation%1:04:00::
wn:00827010n	insulation%1:04:00::
wn:00706847n	insulin_shock%1:04:00::
wn:01225027n	insult%1:04:00::
wn:01062136n	insurance_claim%1:04:00::
wn:00963241n	insurgency%1:04:00::
wn:06015505n	integral%1:09:00::
wn:13500860n	integrated_data_processing%1:22:00::
wn:01216738n	integrated_logistic_support%1:04:00::
wn:01202415n	integration%1:04:00::
wn:00871418n	integration%1:04:03::
wn:13501059n	intellectualization%1:22:00::
wn:00981830n	intelligence%1:04:00::
wn:01007053n	intelligence_test%1:04:00::
wn:00748011n	intemperance%1:04:01::
wn:00747671n	intemperance%1:04:00::
wn:00374224n	intensification%1:04:00::
wn:00374677n	intensification%1:04:01::
wn:00711265n	intensive_care%1:04:00::
wn:00163233n	intention%1:04:00::
wn:01217306n	inter-service_support%1:04:00::
wn:00039021n	interaction%1:04:00::
wn:11516113n	interaction%1:19:00::
wn:01078279n	interception%1:04:00::
wn:00139758n	interception%1:04:01::
wn:07190188n	intercession%1:10:01::
wn:00040152n	interchange%1:04:01::
wn:06252743n	intercommunication%1:10:00::
wn:01036624n	intercommunion%1:04:00::
wn:00145929n	interconnection%1:04:00::
wn:07134445n	intercourse%1:10:00::
wn:01217052n	interdepartmental_support%1:04:00::
wn:07255299n	interdiction%1:10:01::
wn:00991642n	interdiction_fire%1:04:00::
wn:11518168n	interfacial_tension%1:19:00::
wn:00562643n	interference%1:04:01::
wn:00268341n	interim_overhaul%1:04:00::
wn:00608354n	interior_decoration%1:04:00::
wn:01068184n	interjection%1:04:00::
wn:00520880n	interlude%1:04:00::
wn:01063578n	intermission%1:04:00::
wn:13501261n	internal_combustion%1:22:00::
wn:00806075n	internal_control%1:04:00::
wn:05753954n	internalization%1:09:00::
wn:00301857n	international_flight%1:04:00::
wn:00764258n	international_terrorism%1:04:00::
wn:01151605n	internationalization%1:04:00::
wn:00593837n	internship%1:04:00::
wn:00975658n	interpenetration%1:04:01::
wn:00051712n	interpenetration%1:04:00::
wn:09314398n	interplanetary_gas%1:17:00::
wn:00039211n	interplay%1:04:00::
wn:05802730n	interpolation%1:09:00::
wn:01052215n	interposition%1:04:01::
wn:05766247n	interpretation%1:09:00::
wn:00531886n	interpretive_dance%1:04:00::
wn:11469827n	interreflection%1:19:00::
wn:07280599n	interrogation%1:10:03::
wn:07193958n	interrogation%1:10:00::
wn:11447532n	interrupt%1:19:00::
wn:07367812n	interruption%1:11:00::
wn:00146111n	intersection%1:04:00::
wn:00381326n	interspersion%1:04:00::
wn:01240210n	intervention%1:04:00::
wn:06661562n	intervention%1:10:00::
wn:01023242n	intervention%1:04:01::
wn:07196075n	interview%1:10:01::
wn:00681299n	intestinal_bypass%1:04:00::
wn:00963447n	intifada%1:04:00::
wn:01254978n	intonation%1:04:01::
wn:01254685n	intonation%1:04:00::
wn:00544842n	intonation%1:04:02::
wn:00678632n	intracapsular_surgery%1:04:00::
wn:00322962n	intradermal_injection%1:04:00::
wn:05746708n	intradermal_test%1:09:00::
wn:00323056n	intramuscular_injection%1:04:00::
wn:11496503n	intraocular_pressure%1:19:00::
wn:07432835n	intravenous_drip%1:11:00::
wn:01058983n	intravenous_feeding%1:04:00::
wn:00323152n	intravenous_injection%1:04:00::
wn:00906829n	intravenous_pyelography%1:04:00::
wn:15023720n	intrinsic_factor%1:27:00::
wn:00779035n	intrinsic_fraud%1:04:00::
wn:00238022n	introduction%1:04:01::
wn:05754519n	introjection%1:09:00::
wn:05754197n	introjection%1:09:01::
wn:05786655n	introspection%1:09:00::
wn:00049530n	intrusion%1:04:02::
wn:13501405n	intrusion%1:22:00::
wn:05707495n	intuition%1:09:00::
wn:13501548n	intumescence%1:22:00::
wn:13501738n	intussusception%1:22:00::
wn:13501941n	invagination%1:22:00::
wn:00976531n	invasion%1:04:00::
wn:07429976n	invasion%1:11:00::
wn:07332313n	invasion%1:11:01::
wn:00734303n	invasion_of_privacy%1:04:00::
wn:00940412n	invention%1:04:00::
wn:01011425n	inventory%1:04:00::
wn:00619738n	inventory_accounting%1:04:00::
wn:00619889n	inventory_control%1:04:00::
wn:11461563n	inversion%1:19:00::
wn:13502205n	inversion%1:22:00::
wn:07425726n	inversion%1:11:00::
wn:00857275n	inversion%1:04:02::
wn:00335814n	inversion%1:04:00::
wn:00335653n	inversion%1:04:01::
wn:00436702n	inverted_hang%1:04:00::
wn:00633864n	investigation%1:04:00::
wn:01099436n	investing%1:04:00::
wn:00828462n	investment%1:04:01::
wn:00198919n	investment%1:04:02::
wn:01135795n	invigilation%1:04:00::
wn:07186148n	invitation%1:10:00::
wn:07186661n	invite%1:10:00::
wn:07190290n	invocation%1:10:00::
wn:00097244n	invocation%1:04:01::
wn:13502397n	involution%1:22:00::
wn:00406365n	involution%1:04:00::
wn:13502556n	iodination%1:22:00::
wn:11486049n	ion_beam%1:19:00::
wn:13502714n	ion_exchange%1:22:00::
wn:11437344n	ionic_bond%1:19:00::
wn:13502909n	ionization%1:22:00::
wn:11437577n	ionizing_radiation%1:19:00::
wn:11500349n	ionospheric_wave%1:19:00::
wn:00663878n	iontophoresis%1:04:00::
wn:00679566n	iridectomy%1:04:00::
wn:00679724n	iridotomy%1:04:00::
wn:00581090n	ironing%1:04:00::
wn:07332550n	irradiation%1:11:00::
wn:05756698n	irradiation%1:09:01::
wn:00746232n	irreverence%1:04:00::
wn:13503226n	irreversible_process%1:22:00::
wn:01057631n	irrigation%1:04:00::
wn:00695448n	irrigation%1:04:01::
wn:00049636n	irruption%1:04:00::
wn:13539143n	irruption%1:22:00::
wn:14166358n	ischemic_stroke%1:26:00::
wn:13503345n	isoagglutination%1:22:00::
wn:13503513n	isogamy%1:22:00::
wn:01202029n	isolation%1:04:00::
wn:13503673n	isolation%1:22:00::
wn:01239717n	isolation%1:04:01::
wn:06662193n	isolationism%1:10:00::
wn:07416107n	isomerization%1:11:00::
wn:00627849n	isometrics%1:04:00::
wn:00628131n	isotonic_exercise%1:04:00::
wn:01060234n	issue%1:04:01::
wn:01103614n	issue%1:04:00::
wn:00516381n	isthmian_games%1:04:00::
wn:05723563n	itch%1:09:00::
wn:13504173n	iteration%1:22:01::
wn:13503908n	iteration%1:22:00::
wn:01019129n	iteration%1:04:00::
wn:00311381n	itineration%1:04:00::
wn:00334935n	jab%1:04:01::
wn:00135952n	jab%1:04:00::
wn:00856193n	jacking_off%1:04:00::
wn:00444340n	jackknife%1:04:00::
wn:00485262n	jacks%1:04:00::
wn:00485450n	jackstraws%1:04:00::
wn:00749491n	jag%1:04:00::
wn:00480366n	jai_alai%1:04:00::
wn:00095873n	jail_delivery%1:04:00::
wn:00102374n	jam_session%1:04:00::
wn:01253379n	jamming%1:04:00::
wn:11489686n	japan_current%1:19:00::
wn:00814274n	japanese_stranglehold%1:04:00::
wn:07470420n	javelin%1:11:00::
wn:00518039n	jazz_festival%1:04:00::
wn:00681441n	jejunostomy%1:04:00::
wn:07211374n	jeremiad%1:10:00::
wn:00335988n	jerk%1:04:00::
wn:00626423n	jerk%1:04:02::
wn:01105038n	jerry-building%1:04:00::
wn:00431005n	jest%1:04:00::
wn:07436100n	jet%1:11:00::
wn:11475067n	jet%1:19:00::
wn:11470008n	jet_propulsion%1:19:00::
wn:11470139n	jet_stream%1:19:00::
wn:00538991n	jig%1:04:00::
wn:00996673n	jihad%1:04:01::
wn:00996513n	jihad%1:04:00::
wn:07385998n	jingle%1:11:00::
wn:00510050n	jinks%1:04:00::
wn:07431502n	jitter%1:11:00::
wn:07345960n	jitter%1:11:01::
wn:00532441n	jitterbug%1:04:00::
wn:00719705n	job%1:04:01::
wn:00584769n	job%1:04:04::
wn:00576877n	job%1:04:05::
wn:00576717n	job%1:04:03::
wn:01242164n	job_action%1:04:00::
wn:07196405n	job_interview%1:10:00::
wn:00294190n	jog%1:04:00::
wn:00287449n	jog_trot%1:04:00::
wn:00628390n	jogging%1:04:00::
wn:00347359n	joggle%1:04:00::
wn:00145218n	joining%1:04:00::
wn:00785596n	joint_venture%1:04:00::
wn:07450343n	jolly%1:11:00::
wn:07339098n	jolt%1:11:00::
wn:00114095n	jostle%1:04:00::
wn:00611674n	journalism%1:04:00::
wn:00306426n	journey%1:04:00::
wn:07472460n	joust%1:11:00::
wn:00309368n	joyride%1:04:00::
wn:00593944n	judgeship%1:04:00::
wn:00874067n	judgment%1:04:02::
wn:01187810n	judgment%1:04:00::
wn:05789432n	judgment%1:09:00::
wn:01189650n	judgment_in_personam%1:04:00::
wn:01189929n	judgment_in_rem%1:04:00::
wn:01190172n	judgment_of_dismissal%1:04:00::
wn:01190364n	judgment_on_the_merits%1:04:00::
wn:01197658n	judicial_review%1:04:00::
wn:00422834n	judicial_torture%1:04:00::
wn:00825773n	judo%1:04:00::
wn:00338994n	juggle%1:04:01::
wn:00099799n	juggle%1:04:00::
wn:00754118n	jugglery%1:04:01::
wn:00562179n	jugglery%1:04:00::
wn:11470348n	juice%1:19:00::
wn:00825951n	jujutsu%1:04:00::
wn:00172217n	juke%1:04:00::
wn:07414222n	jump%1:11:01::
wn:00303849n	jump%1:04:02::
wn:00119568n	jump%1:04:00::
